ITEMCODE,PROJECT,QUANTITY,UNITBIDPRICE,CONTRACTOR
3166008,NH 2017(260),807600.0,2.1,LIPHAM ASPHALT AND PAVING COMPANY, LLC
3166008,NH 2017(260),807600.0,2.8,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
3166008,NH 2017(260),807600.0,2.36,BRANNAN PAVING CO., LTD.
3166222,NH 2017(260),31803.0,78.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
3166222,NH 2017(260),31803.0,88.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
3166222,NH 2017(260),31803.0,95.06,BRANNAN PAVING CO., LTD.
3166223,NH 2017(260),12874.0,84.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
3166223,NH 2017(260),12874.0,122.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
3166223,NH 2017(260),12874.0,103.24,BRANNAN PAVING CO., LTD.
3166224,NH 2017(260),11564.0,77.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
3166224,NH 2017(260),11564.0,79.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
3166224,NH 2017(260),11564.0,95.43,BRANNAN PAVING CO., LTD.
3166284,NH 2017(260),2587800.0,1.95,LIPHAM ASPHALT AND PAVING COMPANY, LLC
3166284,NH 2017(260),2587800.0,1.9,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
3166284,NH 2017(260),2587800.0,2.09,BRANNAN PAVING CO., LTD.
5006001,NH 2017(260),1.0,750000.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
5006001,NH 2017(260),1.0,541000.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
5006001,NH 2017(260),1.0,1277000.0,BRANNAN PAVING CO., LTD.
5026001,NH 2017(260),4.0,5000.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
5026001,NH 2017(260),4.0,1000.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
5026001,NH 2017(260),4.0,5000.0,BRANNAN PAVING CO., LTD.
6626109,NH 2017(260),24031.0,1.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6626109,NH 2017(260),24031.0,0.01,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6626109,NH 2017(260),24031.0,0.01,BRANNAN PAVING CO., LTD.
6626111,NH 2017(260),116106.0,1.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6626111,NH 2017(260),116106.0,0.01,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6626111,NH 2017(260),116106.0,0.01,BRANNAN PAVING CO., LTD.
6666178,NH 2017(260),13588.0,0.2,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666178,NH 2017(260),13588.0,0.18,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666178,NH 2017(260),13588.0,0.2,BRANNAN PAVING CO., LTD.
6666180,NH 2017(260),5886.0,0.2,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666180,NH 2017(260),5886.0,0.35,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666180,NH 2017(260),5886.0,0.2,BRANNAN PAVING CO., LTD.
6666182,NH 2017(260),2576.0,2.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666182,NH 2017(260),2576.0,0.7,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666182,NH 2017(260),2576.0,2.0,BRANNAN PAVING CO., LTD.
6666184,NH 2017(260),217.0,50.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666184,NH 2017(260),217.0,25.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666184,NH 2017(260),217.0,50.0,BRANNAN PAVING CO., LTD.
6666192,NH 2017(260),58.0,50.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666192,NH 2017(260),58.0,50.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666192,NH 2017(260),58.0,50.0,BRANNAN PAVING CO., LTD.
6666193,NH 2017(260),40.0,250.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666193,NH 2017(260),40.0,50.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666193,NH 2017(260),40.0,250.0,BRANNAN PAVING CO., LTD.
6666194,NH 2017(260),31.0,250.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666194,NH 2017(260),31.0,90.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666194,NH 2017(260),31.0,250.0,BRANNAN PAVING CO., LTD.
6666196,NH 2017(260),11.0,275.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666196,NH 2017(260),11.0,100.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666196,NH 2017(260),11.0,275.0,BRANNAN PAVING CO., LTD.
6666199,NH 2017(260),260.0,5.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666199,NH 2017(260),260.0,10.0,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666199,NH 2017(260),260.0,5.0,BRANNAN PAVING CO., LTD.
6666214,NH 2017(260),4150.0,2.0,LIPHAM ASPHALT AND PAVING COMPANY, LLC
6666214,NH 2017(260),4150.0,0.7,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
6666214,NH 2017(260),4150.0,2.0,BRANNAN PAVING CO., LTD.
60486009,NH 2017(260),240314.0,0.09,LIPHAM ASPHALT AND PAVING COMPANY, LLC
60486009,NH 2017(260),240314.0,0.09,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
60486009,NH 2017(260),240314.0,0.09,BRANNAN PAVING CO., LTD.
60486010,NH 2017(260),1240557.0,0.089,LIPHAM ASPHALT AND PAVING COMPANY, LLC
60486010,NH 2017(260),1240557.0,0.09,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
60486010,NH 2017(260),1240557.0,0.089,BRANNAN PAVING CO., LTD.
60486013,NH 2017(260),675793.0,0.09,LIPHAM ASPHALT AND PAVING COMPANY, LLC
60486013,NH 2017(260),675793.0,0.09,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
60486013,NH 2017(260),675793.0,0.09,BRANNAN PAVING CO., LTD.
60486014,NH 2017(260),970417.0,0.09,LIPHAM ASPHALT AND PAVING COMPANY, LLC
60486014,NH 2017(260),970417.0,0.09,MISSOURI PETROLEUM PRODUCTS COMPANY LLC
60486014,NH 2017(260),970417.0,0.09,BRANNAN PAVING CO., LTD.